news, edge, error, cent, holiday, shake, hair, snakes, toad, window, space, cemetery, fang, chance, development, spy
1, 1, 0, 1, m, 0, 0.000000, ffa7f5ad7bd54903, 0, -3, 0, week, -0.007812, 0, 0.000000, 0
1, 1, 1, 0, M, 1, 0.000000, 3dbe3, 1, 0, 6499, plot, 1.000000, 505260861285, 0.011642, 88
1, 0, 0, 0, m, 0, -280868.531250, ffa7f5ad7bd54903, 1, 29, 0, week, 717281.218750, 12916349821374864015, 0.000000, 174480779
1, 0, 0, 0, 8, 1, -67265.890625, ffffffffd181e983, 0, 4, 1, expansion, 0.000000, 15886153345366115466, 1.000000, 28169
1, 1, 1, 0, 5, 0, 0.000000, a0954ed9ec4cbf6a, 0, 0, 6499, plot, 1.000000, 505260861285, 0.011642, 88
1, 0, 0, 1, H, 0, -97668.000000, 6d9a6e, 0, 1, 361, condition, -11226.644531, 3646452811161720045, -0.000021, 0
0, 1, 0, 0, P, 0, 311358.812500, 0, 0, -1, 1600, army, 0.000000, 73480866211425, 201.985551, 21
1, 0, 1, 1, h, 0, 7521.913086, 7e7ff88fd334d004, 1, -78, 0, wall, 1.896484, 11539886, 4.931257, 4068527814
1, 0, 1, 1, 8, 1, -53639.878906, ffffffffd181e983, 1, 4, 736, group, 0.015625, 0, 1.000000, 28169
1, 0, 1, 1, 8, 1, -0.052246, 0, 1, 89, 7318, appliance, -1659287.406250, 0, 0.000000, 0
0, 0, 0, 0, 7, 0, -280868.531250, fffffff9503ecaae, 1, -6, 0, week, -0.933594, 907970465955549, 0.026037, 174480779
1, 0, 1, 0, ~, 0, -441.057129, 569b323a2188d23f, 0, 116, 6499, hope, 1678661.992188, 1, 0.011642, 4238289158
1, 0, 0, 0, 7, 1, 270970.000000, fffffff9503ecaae, 1, -6, 7349, week, -0.933594, 907970465955549, 0.026037, 174480779
1, 0, 1, 1, +, 1, -0.052246, 1, 0, 57, 47937, pan, 1.980469, 1730, 215.996453, 1
1, 1, 1, 1, b, 0, -2.065918, ffffffffffff587e, 1, -3, 0, wall, 2013897.144531, 21, 4.931257, 4068527814
0, 0, 1, 0, c, 0, 1.000000, ffa7f5ad7bd54903, 0, 29, 53621, group, -0.025391, 2318440803239371916, 0.000000, 174480779
0, 0, 1, 0, 8, 0, 0.000977, fffffffffff4f98a, 0, 89, 0, hope, 0.000000, 0, -181.418596, 0
