news, edge, error, cent, holiday, shake, hair, snakes, toad, window, space, cemetery, fang, chance, development, spy
1, 1, 1, 1, d, 1, -295.711426, 0, 0, -4, 1, effect, 0.000000, 146, -0.254103, 111
1, 1, 1, 1, V, 1, -427.430664, 31, 0, 71, 37153, plastic, 14.888672, 24297, -0.000745, 0
0, 0, 0, 1, +, 0, -984.030273, 9, 0, 2, 2439, spark, 0.001953, 36, -0.000015, 1
0, 1, 0, 1, ;, 1, -984.030273, 0, 1, 2, 0, rate, 0.001953, 4, -0.000015, 1
0, 1, 1, 1, b, 1, 0.000000, a3, 0, 84, 1, stocking, 1.000000, 0, 254.776764, 48
0, 1, 0, 0, k, 0, -0.901855, 0, 1, -2, 666, harmony, 60.410156, 20, 0.054248, 195
0, 0, 1, 0, @, 0, 484598.312500, 16, 1, 0, 6, quill, 1.753906, 4761, 0.023685, 9
0, 1, 1, 1, d, 1, -1575.971680, 0, 1, -4, 7541, effect, 0.000000, 119, -0.254103, 111
0, 0, 1, 1, _, 0, -19.771973, cc, 0, 29, 3, stocking, -0.041016, 1796, -0.001547, 42
1, 0, 0, 0, n, 1, -0.068359, 1, 0, 9, 0, zoo, -0.001953, 104, 22.074099, 154
0, 0, 1, 0, t, 0, 1312.777344, 2, 1, 0, 8214, cactus, 0.107422, 23282, -0.000052, 0
1, 1, 1, 0, 7, 1, 0.172852, 16, 1, 37, 14769, straw, 4.113281, 567, 0.000000, 9
1, 1, 1, 0, V, 1, -427.430664, 31, 0, 71, 1293, oven, 14.888672, 24297, -0.000745, 0
1, 1, 1, 1, 0, 0, 403.666504, 49, 1, 11, 1, zoo, 0.025391, 146, 22.074099, 154
0, 0, 0, 0, [, 1, -847.125000, 5, 0, -1, 96, body, 0.111328, 18695, 1.000000, 74
0, 1, 0, 0, k, 1, 0.000488, 1, 1, -2, 666, harmony, -34.513672, 20, -0.000012, 195
1, 0, 0, 0, |, 1, 1.000000, cc, 0, 64, 118, book, 4.916016, 2, 12.330914, 40
1, 0, 1, 1, |, 0, 431891.281250, cc, 0, -1, 118, stocking, 4.916016, 2, 12.330914, 40
0, 1, 0, 0, i, 0, -0.038086, 0, 1, -71, 0, parcel, -2.097656, 1703, 230.544479, 0
0, 1, 1, 0, 3, 0, 472222.531250, 4f, 1, -4, 3, fiction, 0.451172, 0, -0.254103, 111
0, 0, 0, 1, +, 0, -984.030273, 9, 0, 2, 30, interest, -21.031250, 1002, 0.066670, 1
1, 1, 0, 1, Q, 0, 0.103516, a3, 0, 29, 27209, stocking, 14.757812, 0, -0.016416, 45
0, 0, 0, 0, 7, 1, -331455.125000, 16, 1, 37, 2251, straw, 62.830078, 3122, -0.000094, 9
0, 0, 0, 0, r, 0, -0.000488, 28, 1, 2, 4246, rate, 0.027344, 22365, -0.000485, 1
1, 0, 0, 0, ), 1, 8.532227, 1, 0, -1, 54226, base, 0.001953, 0, 228.656921, 74
0, 0, 0, 0, 2, 0, -984.030273, 28, 1, 2, 2560, rate, 36.361328, 14, -0.103444, 1
1, 0, 0, 0, 7, 1, 0.000000, b6, 1, 1, 37385, dog, 4.113281, 1, -174.303696, 9
1, 1, 1, 1, b, 1, 0.000000, a3, 0, 29, 27209, corn, 14.757812, 0, 0.000000, 45
