news, edge, error, cent, holiday, shake, hair, snakes, toad, window, space, cemetery, fang, chance, development, spy
1, 1, 0, 1, 2, 1, 425445.781250, 563f91e193afcc16, 0, 9, 4, plot, 36012.160156, 83880716, -0.000014, 84820
1, 1, 1, 0, x, 0, -0.024414, ffffffff967ec42d, 0, 113, 6552, giants, 48.892578, 455637251700972, 1.000000, 2499883199
0, 0, 0, 0, n, 1, 0.003906, fffffffeb7c74dd4, 1, 79, 2804, beam, 3.001953, 37, 113.396436, 460
1, 0, 1, 0, c, 1, 0.041016, 0, 0, 56, 7, wren, 7.253906, 382385509292, -0.690037, 497827
1, 1, 0, 1, M, 1, 425445.781250, 563f91e193afcc16, 0, 9, 4, plot, 36012.160156, 74112154563, -0.000014, 84820
1, 1, 0, 0, w, 1, 0.009277, 3272f912efdb3, 0, -4, 7216, flesh, -1917.765625, 1669607290714784795, -0.038930, 3440352
1, 0, 0, 0, q, 1, 587.769531, ffff692fcd690919, 1, 24, 2, box, -0.001953, 13541537585, -0.000010, 84820
0, 1, 0, 0, S, 1, -5.043945, fffffffeb7c74dd4, 1, 0, 154, sign, 3.001953, 37, -1.351786, 460
0, 1, 1, 1, #, 1, -0.053711, 872dd1, 1, 0, 4257, education, 26829.505859, 13194, 249.958405, 18661872
0, 1, 0, 0, *, 1, 1.000000, 3272f912efdb3, 1, -4, 38475, flesh, 0.009766, 16175901962791507084, -177.301694, 3440352
1, 0, 0, 0, K, 0, -27.421387, ffffffffffffff93, 1, 24, 1102, plot, 1731.720703, 281453471430435481, -0.000010, 84820
1, 1, 0, 1, G, 0, -0.024414, ffffffff967ec42d, 0, 113, 6552, dog, 48.892578, 203, -241.413941, 2499883199
0, 0, 1, 1, M, 0, -7354.135742, 1, 0, 35, 1275, pocket, 304.689453, 802029866389, 0.003356, 0
1, 1, 0, 0, 7, 1, 499922.062500, fffffffffffac9b8, 0, 1, 10, lunchroom, -0.105469, 4111043424307, 0.001016, 2732
1, 0, 1, 0, x, 0, -106.993652, ffffffff967ec42d, 1, 113, 2, , 1.591797, 455637251700972, 0.000011, 2499883199
0, 1, 0, 0, |, 1, -455184.531250, 94f971c4d12727d2, 0, -26, 7216, water, 0.000000, 1, -0.038930, 18661872
